Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
11.08.2021,136.712,128.726,130.69,132.156,129.504,126.678,138.72,147.842,160.61,173.36,174.62,181.172,175.69,185.272,185.296,183.756,175.65,162.856,156.18,152.08,145.894,147.008,134.138,130.72
12.08.2021,129.716,130.11,130.06,132.324,131.61,136.44,142.624,153.28,168.814,185.366,185.198,190.12,182.434,178.274,179.206,179.928,172.366,172.91,173.134,166.718,156.706,155.058,136.762,137.138
13.08.2021,137.994,133.332,134.014,132.5,128.232,125.94,139.484,145.622,172.15,176.256,188.71,191.172,183.666,192.946,190.83,188.16,181.73,178.442,170,164.272,164.736,156.732,134.628,131.066
14.08.2021,128.044,129.086,130.614,131.588,134.142,146.078,147.24,143.54,152.302,158.482,158.922,159.612,163.05,164.27,166.344,169.184,173.256,166.754,161.85,157.834,140.126,131.588,133.848,136.778
15.08.2021,135.21,133.746,132.94,133.782,130.454,125.51,125.616,125.892,129.334,129.74,128.756,127.476,127.332,135.488,134.36,136.076,138.214,136.428,136.636,132.636,132.664,129.294,132.342,130.998
16.08.2021,135.324,129.78,130.962,145.652,150.208,145.25,145.996,152.878,161.612,183.528,193.512,195.958,193.362,205.016,205.192,196.76,197.088,182.536,172.724,164.528,158.854,153.264,141.382,140.174
17.08.2021,135.014,138.166,138.328,136.004,131.738,134.6,142.768,149.052,172.702,182.276,184.29,185.522,189.3,189.27,191.496,188.518,177.074,163.28,157.414,152.554,153.514,153.322,139.928,137.202
18.08.2021,137.464,136.52,137.042,139.076,137.674,144.69,148.584,161.332,171.316,181.476,194.11,193.42,186.08,198.874,190.504,187.06,175.234,168.554,163.278,158.068,155.64,155.168,141.452,136.508
19.08.2021,134.744,133.998,140.394,138.096,136.838,135.232,146.896,156.914,167.93,173.338,183.022,189.538,191.942,192.984,188.382,181.936,172.29,160.454,157.41,148.39,147.514,147.86,134.828,131.488
20.08.2021,133.17,131.946,128.506,129.008,132.866,131.696,147.162,156.19,180.306,181.932,193.596,184.102,178.114,179.204,182.292,180.8,179.318,166.606,162.46,154.04,148.582,148.154,141.25,133.442
21.08.2021,134.888,136.458,135.466,134.196,130.858,138.618,139.374,142.216,144.462,145.76,147.782,150.58,150.204,148.896,148.858,142.816,143.026,145.592,140.492,143.11,131.632,128.748,129.25,129.46
22.08.2021,130.654,124.642,124.684,126.412,125.38,120.998,120.182,121.738,128.956,130.642,128.038,134.348,135.462,136.506,135.822,136.114,142.702,139.35,136.914,136.514,133.718,132.678,135.254,130.728
23.08.2021,130.302,129.764,126.74,141.014,141.108,141.994,139.662,147.074,170.586,185.006,181.802,187.406,183.556,183.434,183.878,178.782,171.148,167.89,161.648,153.41,152.776,149.624,134.83,129.384
24.08.2021,130.978,134.552,131.724,130.786,131.312,133.186,145.662,150.832,169.262,185.994,189.71,186.244,185.374,186.972,183.696,182.3,179.026,167.54,159.718,157.018,153.274,151.328,135.934,132.962
25.08.2021,132.14,134.126,132.156,130.95,122.314,121.356,131.792,144.646,168.954,173.052,186.836,186.862,190.358,194.11,192.076,185.086,181.916,177.576,166.352,159.688,158.102,154.566,140.934,136.14
26.08.2021,139.97,135.158,136.606,136.446,137.872,139.066,152.982,165.726,178.496,199.546,202.766,211.902,200.06,200.472,193.742,193.99,183.718,175.474,169.398,161.028,160.142,158.552,143.466,143.51
27.08.2021,140.968,143.04,144.902,143.304,137.942,139.028,150.142,160.81,175.816,184.708,196.816,196.638,192.744,198.138,182.812,183.444,178.056,168.866,163.458,157.822,155.556,156.602,144.794,140.07
28.08.2021,139.434,141.158,141.826,139.428,146.206,152.282,155.334,155.502,155.748,158.314,159.048,164.018,158.608,158.166,159.362,159.688,155.686,159.204,157.826,156.076,142.466,139.392,139.438,138.208
29.08.2021,141.752,142.504,141.708,141.904,135.844,135.944,133.194,131.916,132.182,140.968,131.642,136.834,133.99,135.69,132.852,132.482,134.982,134.652,132.444,137.816,132.716,134.218,139.318,137.724
30.08.2021,140.472,140.08,138.718,150.894,156.126,158.936,156.654,167.746,180.964,187.88,206.144,200.826,200.682,199.686,195.29,181.182,180.444,172.712,167.388,162.284,155.624,154.27,140.15,140.226
31.08.2021,138.722,134.524,136.142,136.074,134.444,135.408,142.686,153.858,167.276,201.474,198.436,214.124,205.036,209.8,203.106,192.582,188.048,180.752,181.584,175.162,174.566,171.15,141.476,136.408
01.09.2021,135.534,133.164,135.336,135.586,139.492,139.242,164.356,182.598,201.984,211.132,218.244,218.016,213.136,229.384,220.952,218.158,208.128,191.32,187.916,182.754,178.676,184.026,150.37,147.786
02.09.2021,148.056,144.774,141.366,142.142,135.056,137.856,162.97,183.188,209.778,217.614,217.462,228.752,225.142,220.824,217.176,212.898,206.948,197.598,196.61,192.806,183.178,185.642,146.674,142.008
03.09.2021,144.104,144.664,143.562,145.276,149.748,150.562,175.108,188.318,201.058,209.986,215.458,213.974,221.564,221.656,218.158,207.166,199.94,191.386,189.5,186.584,181.574,175.924,147.102,143.688
04.09.2021,143.428,147.27,146.906,139.476,140.574,163.616,169.268,168.244,170.514,178.638,178.712,180.216,185.12,186.714,186.508,182.514,183.656,179.526,171.69,170.404,141.348,134.184,132.244,134.464
05.09.2021,131.75,132.274,134.556,132.904,137,135.436,132.568,133.244,135.15,138.978,143.378,146.71,145.01,142.576,144.136,141.19,140.83,144.03,143.752,139.672,137.044,133.14,134.634,135.686
06.09.2021,135.64,134.81,136.346,164.182,166.796,165.166,165.686,177.13,190.524,203.196,216.588,225.67,223.378,218.356,208.926,205.344,197.346,187.262,188.69,184.238,177.962,177.876,143.204,138.276
07.09.2021,140.206,136.676,137.56,139.29,141.408,142.97,169.066,181.704,204.382,215.39,216.866,214.312,222.702,219.88,209.618,206.444,203.094,191.12,179.594,178.606,175.534,168.476,134.958,129.972
08.09.2021,130.28,128.154,128.634,129.478,137.5,132.816,162.382,179.078,190.032,209.308,199.772,207.286,200.292,208.848,206.138,200.332,196.342,192.634,181.692,174.934,170.728,172.698,143.288,135.362
09.09.2021,135.814,137.88,134.588,133.706,134.948,136.216,161.056,176.456,189.05,196.838,210.81,211.736,209.472,215.144,213.382,207.58,206.544,201.644,199.978,189.294,178.032,172.83,145.932,138
10.09.2021,132.376,132.966,133.618,133.934,136.128,138.532,155.316,167.682,186.81,190.872,195.084,201.816,198.054,198.518,201.702,212.272,206.688,204.322,195.052,183.83,175.226,169.076,139.61,135.448
11.09.2021,133.85,132.826,131.254,140.344,142.668,161.42,164.938,162.2,166.858,172.914,171.02,176.086,176.234,181.252,184.048,187.674,184.768,177.59,174.784,169,142.54,139.254,137.162,136.5
12.09.2021,136.758,137.52,136.95,135.334,131.952,131.756,130.372,129.564,132.528,132.88,132.21,129.408,130.56,131.288,129.92,132.312,133.276,129.108,128.346,133.366,134.444,132.636,134.168,131.742
13.09.2021,131.924,132.198,130.394,158.81,167.668,167.348,166.22,170.55,186.238,200.32,211.974,214.788,213,216.24,213.074,209.988,195.89,190.606,186.896,183.446,197.684,186.454,151.814,145.45
14.09.2021,146.132,147.136,144.028,144.01,138.776,136.36,159.498,176.718,194.29,214.734,227.996,220.154,216.748,221.182,221.206,224.374,199.61,190.526,189.72,194.6,185.984,178.962,151.986,143.976
15.09.2021,137.51,138.104,136.594,132.074,138.012,141.38,165.744,181.422,196.66,214.606,226.036,220.322,222.722,224.558,214.36,212.11,195,183.626,182.854,192.838,187.522,176.648,138.88,134.094
16.09.2021,132.474,134.022,136.062,133.092,129.584,132.802,156.834,164.624,185.702,199.496,215.96,228.128,219.094,216.248,212.712,208.258,198.932,198,188.146,186.708,188.172,177.32,139.876,131.528
