datetime,pcc,load,cs,cp0,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8,cp9,cp10,cp11,n_ev
2025-02-01 03:09:00,23.75252745001092,23.75252745001092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:10:00,23.75511678894717,23.75511678894717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:11:00,23.757706127883417,23.757706127883417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:12:00,23.760295466819663,23.760295466819663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:13:00,23.76288480575591,23.76288480575591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:14:00,23.765474144692156,23.765474144692156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:15:00,23.768063483628413,23.768063483628413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:16:00,23.770652822564664,23.770652822564664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:17:00,23.773242161500903,23.773242161500903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:18:00,23.77583150043716,23.77583150043716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:19:00,23.77842083937341,23.77842083937341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:20:00,23.781010178309657,23.781010178309657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:21:00,23.783599517245904,23.783599517245904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:22:00,23.78618885618215,23.78618885618215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:23:00,23.788778195118397,23.788778195118397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:24:00,23.791367534054647,23.791367534054647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:25:00,23.793956872990904,23.793956872990904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:26:00,23.79654621192715,23.79654621192715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:27:00,23.799135550863394,23.799135550863394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:28:00,23.80172488979964,23.80172488979964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:29:00,23.804314228735898,23.804314228735898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:30:00,23.806903567672144,23.806903567672144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:31:00,23.80949290660839,23.80949290660839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:32:00,23.812082245544637,23.812082245544637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:33:00,23.814671584480887,23.814671584480887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:34:00,23.817260923417134,23.817260923417134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:35:00,23.821400214226088,23.821400214226088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:36:00,23.825773056640166,23.825773056640166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:37:00,23.830145899054237,23.830145899054237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:38:00,23.83451874146832,23.83451874146832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:39:00,23.838891583882397,23.838891583882397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:40:00,23.84326442629647,23.84326442629647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:41:00,23.847637268710542,23.847637268710542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:42:00,23.852010111124624,23.852010111124624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:43:00,23.856382953538706,23.856382953538706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:44:00,23.860755795952777,23.860755795952777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:45:00,23.865128638366855,23.865128638366855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:46:00,23.869501480780933,23.869501480780933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:47:00,23.87387432319501,23.87387432319501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:48:00,23.87824716560909,23.87824716560909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:49:00,23.88262000802316,23.88262000802316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:50:00,23.88699285043724,23.88699285043724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:51:00,23.89136569285132,23.89136569285132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:52:00,23.89573853526539,23.89573853526539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:53:00,23.900111377679472,23.900111377679472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:54:00,23.90448422009355,23.90448422009355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 03:55:00,23.90885706250762,23.90885706250762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
